"id","owner_last_name","owner_first_name","pet_name","species","breed","age","veterinarian","visit_date","diagnosis"
"1","Коваленко","Олексій","Рекс","Собака","Вівчарка","5","Петренко","2023-10-01","Гастрит"
"2","Мельник","Ірина","Мурка","Кіт","Британська","3","Сидоренко","2023-10-02","Вакцинація"
"3","Шевченко","Андрій","Бобик","Собака","Дворняга","7","Козак","2023-10-03","Перелом лапи"
"4","Бондаренко","Ольга","Кеша","Папуга","Хвилястий","2","Петренко","2023-10-04","Кліщі"
"5","Ткаченко","Василь","Рижик","Кіт","Персидська","4","Сидоренко","2023-10-05","Захворювання очей"
"6","Кравченко","Марія","Барсік","Кіт","Мейн-кун","1","Козак","2023-10-06","Огляд"
"7","Олійник","Петро","Джек","Собака","Лабрадор","6","Петренко","2023-10-07","Алергія"
"8","Лисенко","Наталія","Сніжок","Кролик","Декоративний","1","Сидоренко","2023-10-08","Проблеми з зубами"
"9","Бойко","Віктор","Граф","Собака","Доберман","4","Козак","2023-10-09","Отруєння"
"10","Гаврилюк","Оксана","Мася","Кіт","Сфінкс","2","Петренко","2023-10-10","Застуда"
"11","Дмитренко","Сергій","Тузік","Собака","Такса","8","Сидоренко","2023-10-11","Артрит"
"12","Поліщук","Юлія","Чіп","Хом'як","Сирійський","1","Козак","2023-10-12","Травма"
"13","Іваненко","Максим","Белла","Собака","Пудель","3","Петренко","2023-10-13","Стрижка кігтів"
"14","Савченко","Тетяна","Люся","Кіт","Сіамська","5","Сидоренко","2023-10-14","Вакцинація"
"15","Кузьменко","Дмитро","Роккі","Собака","Бульдог","2","Козак","2023-10-15","Дерматит"
